elapsed_S,supply_V,current_A,BMF_resistance
0.000000000000000000e+00,4.737065429687500107e+00,9.596777343750000078e-02,4.936100171973420458e+01
3.673453999999765074e-02,4.729426269531249893e+00,9.487646484374999412e-02,4.984825559552666618e+01
7.075981800062436378e-02,4.729345703125000355e+00,9.683105468750000111e-02,4.884120820936917085e+01
1.047277820007366245e-01,4.732221679687500071e+00,9.589843750000000278e-02,4.934618126272912519e+01
1.387829479999709292e-01,4.728271484375000000e+00,9.758447265625000422e-02,4.845311303808298931e+01
1.728395220006859745e-01,4.759406738281249716e+00,9.377587890624999867e-02,5.075299526693152075e+01
2.080065120007930091e-01,4.727727050781250107e+00,9.576171875000000222e-02,4.936969712420966516e+01
2.420495860005758004e-01,4.752785644531249964e+00,9.599511718750000644e-02,4.951070204172982159e+01
2.766585910003414028e-01,4.750739746093749716e+00,9.791210937500000044e-02,4.852045141728670785e+01
3.107051280003361171e-01,4.749870605468750284e+00,9.865722656250000555e-02,4.814518683494184614e+01
3.450747680008134921e-01,4.736960449218750036e+00,9.620410156250000511e-02,4.923865378173438501e+01
3.806097110000337125e-01,4.729626464843749822e+00,9.567480468750000355e-02,4.943439895479274071e+01
4.145178450007733773e-01,4.729599609374999680e+00,9.599560546874999489e-02,4.926891794973524696e+01
4.484191090004969737e-01,4.730524902343749893e+00,9.365039062499999623e-02,5.051260193121859032e+01
4.824028140001246356e-01,4.728398437500000107e+00,9.383056640624999611e-02,5.039294356412458598e+01
5.164293150000958121e-01,4.733002929687500249e+00,9.544970703124999734e-02,4.958635366096961405e+01
5.506961810006032465e-01,4.727714843750000284e+00,9.437353515624999356e-02,5.009576928449842370e+01
5.846084810000320431e-01,4.728225097656250320e+00,9.763134765625000600e-02,4.842937449049507848e+01
6.185987420003584702e-01,4.732817382812499751e+00,9.495800781249999489e-02,4.984116128634161669e+01
6.528056639999704203e-01,4.728168945312500426e+00,9.575195312499999722e-02,4.937934727180010697e+01
6.868416280003657448e-01,4.729960937499999574e+00,9.356591796874999534e-02,5.055217797446026395e+01
7.208767210004225490e-01,4.728833007812499822e+00,9.743701171874999400e-02,4.853220479977549928e+01
7.548980370002027485e-01,4.727553710937500320e+00,9.508251953125000655e-02,4.972053469180245600e+01
7.889057050006158534e-01,4.731721191406250249e+00,9.421630859375000611e-02,5.022189111450856558e+01
8.229961680008273106e-01,4.727297363281249609e+00,9.697509765624999500e-02,4.874753908511870293e+01
8.568490070001644199e-01,4.729018554687500320e+00,9.501806640625000411e-02,4.976967784703772679e+01
8.908113610004875227e-01,4.729550781250000391e+00,9.751416015625000155e-02,4.850116920118772867e+01
9.248075290006454452e-01,4.729714355468749964e+00,9.369824218750000266e-02,5.047815460618883066e+01
9.588150120007412625e-01,4.731357421874999858e+00,9.586962890625000400e-02,4.935199474383852447e+01
9.928515500005232752e-01,4.729018554687500320e+00,9.441845703124999989e-02,5.008574280262089928e+01
1.027017196000088006e+00,4.728171386718750036e+00,9.028222656249999811e-02,5.237100996224945959e+01
1.061129787000027136e+00,4.729069824218750107e+00,9.487792968750000111e-02,4.984372909268694229e+01
1.095180213000276126e+00,4.730092773437499787e+00,9.454931640625000022e-02,5.002778394624994007e+01
1.129220417999931669e+00,4.727783203125000000e+00,9.718847656250000078e-02,4.864551200249193386e+01
1.163395897000555124e+00,4.741059570312500249e+00,9.561425781250000588e-02,4.958527816646068942e+01
1.198198657000830281e+00,4.730227050781249609e+00,9.489550781250000178e-02,4.984669095324832711e+01
1.232611964000170701e+00,4.727443847656250142e+00,9.708984375000000167e-02,4.869143532488433124e+01
1.266563060000407859e+00,4.728850097656249751e+00,9.415527343750000611e-02,5.022395374163770754e+01
1.300553249000586220e+00,4.728715820312499929e+00,9.428124999999999700e-02,5.015542136228041414e+01
1.334513938000782218e+00,4.729333496093749645e+00,9.358056640624999589e-02,5.053756006950060709e+01
1.368551069000204734e+00,4.742976074218749893e+00,9.710839843749999312e-02,4.884207906354649964e+01
1.403192259000206832e+00,4.727841796875000391e+00,9.268164062500000577e-02,5.101163256274629987e+01
1.437177873000109685e+00,4.728603515625000142e+00,9.572412109375000311e-02,4.939824426273827385e+01
1.471121600000515173e+00,4.727978515624999822e+00,9.380322265625000433e-02,5.040315654133850387e+01
1.505065567000201554e+00,4.728901367187500426e+00,9.609130859374999389e-02,4.921258162046800777e+01
1.539229732000421791e+00,4.729453125000000036e+00,9.512207031250000111e-02,4.971982957753708376e+01
